.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19890111_20170204_01_T1.tif,5193638
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19890706_20170202_01_T1.tif,6402749
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19891010_20170201_01_T1.tif,8844761
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19900709_20170129_01_T1.tif,7752608
.\Data\SATELLITE_1\landsat\LT05_L1GS_009054_19911024_20170213_01_T2.tif,6618598
.\Data\SATELLITE_1\landsat\LT05_L1GS_009054_19981128_20161222_01_T2.tif,5267184
.\Data\SATELLITE_1\landsat\LT05_L1GS_009054_19990421_20161218_01_T2.tif,7341791
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19891221_20170201_01_T1.tif,5301004
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19910720_20170126_01_T1.tif,7207980
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19910805_20170125_01_T1.tif,9268973
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19910821_20170126_01_T1.tif,7104198
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19911125_20170213_01_T1.tif,7268014
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19971008_20161229_01_T1.tif,6502824
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19980301_20161225_01_T1.tif,4218987
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19980520_20161225_01_T1.tif,5759137
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19980621_20161223_01_T1.tif,7542910
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19990115_20161220_01_T1.tif,4522009
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19990405_20161219_01_T1.tif,6421829
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19990523_20161217_01_T1.tif,7370019
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_19991217_20161215_01_T1.tif,6209959
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_20000626_20161214_01_T1.tif,5143421
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_20000712_20161214_01_T1.tif,5742164
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_20000813_20161213_01_T1.tif,8546446
.\Data\SATELLITE_1\landsat\LT05_L1TP_009054_20000930_20161213_01_T1.tif,7754064
